"Debtor Name","Account Number","Customer ID","Client","Total Invoiced Amount","Paid Amount","Collected","Balance","Contact Code","Last Contacted Date","Assigned To","Status","Latest Update"
"SATURN POWER TECHNOLOGY L.L.C","1201S5264","1201S5264","Bin Dasmal General Trading Co. (L.L.C)","","0","0","","SETTLEMENT AGREED - PTP","22-11-2023 13:59:53","Mohammed ShaheerMohammed Shaheer","New","Spoke to Shanu Accountant he said they will be making the pa"
"ENERVO CONTRACTING & GENERAL MAINTENANCE L.L.C","1201E2903","1201E2903","Bin Dasmal General Trading Co. (L.L.C)","","0","0","","FAMILY ONLY - COOPERATIVE","24-11-2023 09:10:39","Rubeena SyedaRubeena Syeda","Cooperating - call back request","Called on this numbers 025530557 to Mr. Hassan he is the jun"
"DREAM WAY BUILDING CONTRACTING LLC","1201D2402","1201D2402","Bin Dasmal General Trading Co. (L.L.C)","","0","0","","COLLEAGUE ONLY - COOPERATIVE","22-11-2023 13:57:50","Mohammed ShaheerMohammed Shaheer","New","Spoke to das He said AC division has already closed he have"
"BIN LAHEJ ELECTROMECHANICAL L.L.C.","1201B0290","1201B0290","Bin Dasmal General Trading Co. (L.L.C)","","0","0","","FAMILY ONLY - COOPERATIVE","24-11-2023 09:22:23","Rubeena SyedaRubeena Syeda","Cooperating - negotiation in progress","There is some automated setting 047059997 on this number whe"
"TECHNICAL SUPPLIES & SERVICES CO","1201T4826","1201T4826","Bin Dasmal General Trading Co. (L.L.C)","","0","0","","CONVERSATION ONGOING - DEFENSIVE","22-11-2023 13:41:31","Aiman LiaqatAiman Liaqat","Waiting for information from client","called and spoke with nicolas he told me that bin dasmal vis"
"SNOW LAND AIRCONDITIONING SYSTEMS LLC","1201S4651","1201S4651","Bin Dasmal General Trading Co. (L.L.C)","","0","0","","UNDER TRACING","24-11-2023 08:59:25","Jomar MandigmaJomar Mandigma","New","email sent for the correct verification of the company name"
"PREMIUM PLUS ELECROMECHANICAL WORKS LLC","1201P4435","1201P4435","Bin Dasmal General Trading Co. (L.L.C)","","0","0","","CONVERSATION ONGOING - FRIENDLY","24-11-2023 11:01:23","Jomar MandigmaJomar Mandigma","New","Spoke with Mr. Ghassan asking for enough time, they are havi"
"MAPCO LLC","1201M0687","1201M0687","Bin Dasmal General Trading Co. (L.L.C)","","0","0","","UNREACHABLE - RNR","22-11-2023 14:00:46","Mohammed ShaheerMohammed Shaheer","New","No answer..."
"BUILDPRO ELECTROMECHANICAL","1201B2353","1201B2353","Bin Dasmal General Trading Co. (L.L.C)","","0","0","","UNREACHABLE - SWITCHED OFF","24-11-2023 09:54:56","Jomar MandigmaJomar Mandigma","New","called phone number// temporary out of service// deep tracin"
"AL SHAFAR UNITED FOR ELECTROMECHNICAL ENGG L.L.C","1201A0171","1201A0171","Bin Dasmal General Trading Co. (L.L.C)","","0","0","","FAMILY ONLY - COOPERATIVE","24-11-2023 09:28:19","Rubeena SyedaRubeena Syeda","Waiting for information from client","Dr. Sami sent an email to client ask about the email address"
